Tier,Source,Candidate title,Link,screener2_decision,screener2_notes
3,IEEE,Multi-Agent Collaborative Closed-Loop Planning - Evaluation - Assessment Framework: Optimization and Interpretability Evaluation,,Include,multi-agent closed-loop planning-evaluation-assessment framework
3,IEEE,Multi-Agent Evaluation for Energy Management by Practically Scaling Q-Rank,https://ieeexplore.ieee.org/document/11292972/,Exclude,energy management evaluation; RL/classical methods
3,IEEE,Multi-Agent-Based Network Traffic Dataset Quality Evaluation Framework,,Exclude,network traffic dataset quality evaluation framework
3,IEEE,NetIQ: A Tri-Modular Dynamic Evaluation Framework for Intelligent Agent Networks,,Exclude,"intelligent agent networks eval; likely network-layer, not LLM"
3,IEEE,Persona-Driven Feedback Agents for High-Stakes Documents: A Multi-Perspective Evaluation of Global Talent Visa Submissions,https://ieeexplore.ieee.org/document/11498196/,Exclude,uses persona-driven agents to evaluate documents (LLM-as-judge)
3,IEEE,Research on Performance Evaluation Technology of Metering Devices Based on the Smart Agent for Business Expansion and Metering,https://ieeexplore.ieee.org/document/11331985/,Exclude,smart metering device performance evaluation; non-AI agent
3,IEEE,Role Assignment for Agent Evaluation Under Uncertainty: A Distributionally Robust Approach,https://ieeexplore.ieee.org/document/11192230/,,
3,IEEE,SafeDoc Agent for Facility Safety Report Evaluation,,Exclude,safety report evaluation application
3,IEEE,Self-Evaluation can Help Agents Meet Social Expectations,https://ieeexplore.ieee.org/document/11217458/,Exclude,self-evaluation application in social context; not reusable benchmark
3,IEEE,Skill Training for Space Teleoperation: DRL-Based Intelligent Agent for Training Strategy Adjustment With Innovative Evaluation,https://ieeexplore.ieee.org/document/11224535/,Exclude,DRL-based space teleoperation; non-LLM
3,IEEE,Task-Specific Trust Evaluation for Multi-Hop Collaborator Selection via GNN-Aided Distributed Agentic AI,,Exclude,GNN-aided distributed agentic AI trust; non-LLM focus
3,IEEE,Teaching Precommitted Agents: Model-Free Policy Evaluation and Control in Quasi-Hyperbolic Discounted MDPs,https://ieeexplore.ieee.org/document/11312113/,Exclude,RL model-free policy evaluation in hyperbolic MDPs
3,IEEE,Workstation Evaluation of Work from Home Call Center Agents Using ROSA,https://ieeexplore.ieee.org/document/10589117/,Exclude,human call center worker ergonomic evaluation; non-AI agent
3,Springer,"[<sup>177</sup>Lu]Lu-EDTMP —a bone pain palliating agent: pharmacokinetics, biodistribution, safety profile and clinical evaluation in osseous metastatic patients",https://doi.org/10.1007/s00259-025-07218-x,Exclude,pharmaceutical radioactive agent; non-AI
3,Springer,A Task Complexity Evaluation Framework for&#xa0;Mobile AI Agent Applications,https://doi.org/10.1007/978-3-031-94171-9_43,Include,task complexity evaluation framework for mobile AI agent applications
3,Springer,CommonHealth: Multi-agent Evaluation of&#xa0;Blockchain-Based Patient-Centred Health Networks,https://doi.org/10.1007/978-3-031-93930-3_24,Exclude,blockchain-based health network multi-agent evaluation; non-LLM
3,Springer,"Development and evaluation of a colorimetric LAMP-based biosensor for rapid detection of a nosocomial infection agent, <i>Citrobacter freundii</i>",https://doi.org/10.1038/s41598-023-49329-1,Exclude,biological nosocomial infection agent detection; non-AI
3,Springer,MATEval: A Multi-agent Discussion Framework for&#xa0;Advancing Open-Ended Text Evaluation,https://doi.org/10.1007/978-981-97-5575-2_31,Exclude,multi-agent discussion for text evaluation (LLM-as-judge)
3,Springer,"Molecular characterization and evaluation of novel management options for <i>Burkholderia glumae</i> BG1, the causative agent of panicle blight of rice (<i>Oryza sativa</i> L.)",https://doi.org/10.1007/s11033-024-09498-2,Exclude,biological pathogen molecular characterization; non-AI
3,Springer,Potential Play Evaluation with Learning-Based Agent Modeling,https://doi.org/10.1007/978-981-96-1445-5_4,Exclude,game-theoretic potential play evaluation; classical game theory
3,Springer,Preparation and Evaluation of Hydrophobically Associating Polyacrylamide Liquid Suspension Agent for Oil Well Cement,https://doi.org/10.1007/978-981-96-4922-8_68,Exclude,polyacrylamide chemical agent for oil well cement; non-AI
3,Springer,Quality Tuning and Evaluation with Agent Bricks,https://doi.org/10.1007/979-8-8688-2524-8_7,,
3,Springer,T2F: a domain-agnostic multi-agent framework for unstructured text to factuality evaluation items generation,https://doi.org/10.1007/s44163-025-00294-w,Exclude,uses multi-agent to generate factuality evaluation items (LLM-as-judge)
3,Springer,Using Generated Rubrics to&#xa0;Provide a&#xa0;Window Into Item Evaluation with&#xa0;Multi-agent LLMs,https://doi.org/10.1007/978-3-031-98420-4_15,Exclude,uses LLM agents with rubrics to evaluate items (LLM-as-judge)
3,Springer,Value-based large language model agent simulation for mutual evaluation of trust and interpersonal closeness,https://doi.org/10.1038/s41598-025-25531-1,Exclude,LLM agent social simulation for trust measurement; application
