oa_id,title,current_type,venue,venue_status,note
W4389469779,BEDD: The MineRL BASALT Evaluation and Demonstrations Dataset for Training and Benchmarking Agents that Solve Fuzzy Task,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4407590542,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7129369048,Unsafer in Many Turns: Benchmarking and Defending Multi-Turn Safety Risks in Tool-Using Agents,preprint,Open MIND,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4414681448,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4384808169,BOLD: A Benchmark for Linked Data User Agents and a Simulation Framework for Dynamic Linked Data Environments,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417284393,Toward Reliable Annotation in Low-Resource NLP: A Mixture of Agents Framework and Multi-LLM Benchmarking,article,IEEE Access,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7128818021,OpenCDA-MARL: A Unified Benchmarking Framework for Cooperative Autonomous Intersection Management With Multi-Agent Reinf,article,IEEE Robotics and Automation Letters,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7138370235,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",article,Proceedings of the AAAI Conference on Artificial Intelligence,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417073165,DriveEval-Agent: A Closed-Loop Framework Combining Zero-Shot Benchmarking and Full Fine-Tuning for Multimodal Autonomous,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400337685,MIRAI: Evaluating LLM Agents for Event Forecasting,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391057591,Magenta: Metrics and Evaluation Framework for Generative Agents based on LLMs,article,AHFE international,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415230938,Interactional Fairness in LLM Multi-Agent Systems: An Evaluation Framework,article,Proceedings of the AAAI/ACM Conference on AI Ethics and Society,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4408353845,IDE: A Multi-Agent-Driven Iterative Framework for Dynamic Evaluation of LLMs,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415971869,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404312297,AGENT-CQ: Automatic Generation and Evaluation of Clarifying Questions for Conversational Search with LLMs,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4410553198,Beyond pip Install: Evaluating LLM Agents for the Automated Installation of Python Projects,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4417068122,LLM-based Agent Simulation for Maternal Health Interventions: Uncertainty Estimation and Decision-focused Evaluation,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415427688,VALISE: A Virtual Agent Laboratory for Instruction-Following Simulation and Evaluation of LLM-Powered Digital Health Int,book-chapter,Frontiers in artificial intelligence and applications,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404088882,When LLMs Learn to be Students: The SOEI Framework for Modeling and Evaluating Virtual Student Agents in Educational Int,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413899309,Joint Evaluation (Jo.E): A Collaborative Framework for Rigorous Safety and Alignment Evaluation of AI Systems Integratin,preprint,Preprints.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7119474322,Survey of Emerging Trends in LLM Agent Benchmarking,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411120574,Towards Reliable Agents: Benchmarking Customized LLM-Based Retrieval-Augmented Generation Frameworks with Deployment Val,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7133240501,SpokenWOZ: A Large-Scale Speech-Text Benchmark for Spoken Task-Oriented Dialogue Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411119485,TurkingBench: A Challenge Benchmark for Web Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4401017924,Proposal for a Flexible Benchmark for Agent Based Models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412886821,AndroidLab: Training and Systematic Benchmarking of Android Autonomous Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412203693,Benchmark of a biophysical model for the radiobiology of RNT with 125I-labelled agents,article,The European Physical Journal Special Topics,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4413358490,Simurgh: Multi-Agent Adversarial Benchmarking for Proactive Microservice Observability,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7130465524,Agentic Data Analysis for Intelligent Manufacturing: Benchmark-Driven Evaluation of Agentic vs. Direct LLM Approaches,article,Procedia CIRP,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402683810,Towards Objectively Benchmarking Social Intelligence of Language Agents at the Action Level,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4392427906,"Imitation Learning Datasets: A Toolkit For Creating Datasets, Training Agents and Benchmarking",preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4400343274,BioKGBench: A Knowledge Graph Checking Benchmark of AI Agent for Biomedical Science,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411119440,AgentSense: Benchmarking Social Intelligence of Language Agents through Interactive Scenarios,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4415797759,ZSC-Eval: An Evaluation Toolkit and Benchmark for Multi-agent Zero-shot Coordination,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4411119411,CSR-Bench: Benchmarking LLM Agents in Deployment of Computer Science Research Repositories,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7127718823,Multilingual Text-to-SQL: Benchmarking the Limits of Language Models with Collaborative Language Agents,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402253773,Benchmark for multi-agent pickup and delivery problem in a robotic mobile fulfillment system,article,Flexible Services and Manufacturing Journal,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W7138907424,From Benchmarks to Business Impact: Deploying IBM Generalist Agent in Enterprise Production,article,Proceedings of the AAAI Conference on Artificial Intelligence,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W3027879771,Affordance-Compiled Intelligence: Observable-Only Cognitive Impedance Matching for No-Meta LLM-Integrated Systems,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391136507,A Survey on Evaluation of Large Language Models,article,ACM Transactions on Intelligent Systems and Technology,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387527822,Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey,review,ACM Computing Surveys,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4319993397,Multi-Agent Distributed Deep Learning Algorithm to Detect Cyber-Attacks in Distance Relays,article,IEEE Access,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4393065402,A survey on large language model based autonomous agents,article,Frontiers of Computer Science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403203873,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",article,Vicinagearth.,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4393763811,"Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods",preprint,IEEE Transactions on Neural Networks and Learning Systems,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404317680,"A Survey of LLM-based Agents: Theories, Technologies, Applications and Suggestions",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402159402,Cyber-Twin: Digital Twin-Boosted Autonomous Attack Detection for Vehicular Ad-Hoc Networks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4408973064,The Elastic Electronic Health Record: A Five-Tiered Framework for Applying Artificial Intelligence to Electronic Health ,article,JMIR AI,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387835442,Generative Agents: Interactive Simulacra of Human Behavior,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402442868,AutoCodeRover: Autonomous Program Improvement,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402670877,SocialBench: Sociality Evaluation of Role-Playing Conversational Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4390094929,Predicting Interaction Quality Aspects Using Level-Based Scores for Conversational Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402669749,"LangSuit·E: Planning, Controlling and Interacting with Large Language Models in Embodied Text Environments",article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4404783844,MATSA: Multi-Agent Table Structure Attribution,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4385474529,Counterfactually Auditable Lifecycle Certification for Autonomous Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391620956,Understanding the planning of LLM agents: A survey,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4409316940,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe ",preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4366327559,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4395065101,A Survey on the Memory Mechanism of Large Language Model based Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391244521,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4393248299,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389261566,TaskBench: Benchmarking Large Language Models for Task Automation,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399912700,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403324055,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405033019,Large Language Model-Brained GUI Agents: A Survey,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405252842,The BrowserGym Ecosystem for Web Agent Research,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4390137153,T-Eval: Evaluating the Tool Utilization Capability of Large Language Models Step by Step,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4394710846,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4391244971,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4394868323,MMInA: Benchmarking Multihop Multimodal Internet Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399990898,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402467036,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402853589,AssistantBench: Can Web Agents Solve Realistic and Time-Consuming Tasks?,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4406733842,IntellAgent: A Multi-Agent Framework for Evaluating Conversational AI Systems,preprint,ArXiv.org,preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4399372403,Design of an Autonomous Cyber Defence Agent using Hybrid AI models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405103533,Training Autonomous Cyber Defense Agents: Challenges &amp; Opportunities in Military Networks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4405104214,Towards Robust and Secure Autonomous Cyber Defense Agents in Coalition Networks,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4386883603,Toward Autonomous Cyber Defense for Protected Core Networking,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4323651349,"Foundation Models for Decision Making: Problems, Methods, and Opportunities",preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4385749957,Benchmarking LLM powered Chatbots: Methods and Metrics,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4386794596,On Autonomous Agents in a Cyber Defence Environment,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402853547,"Evaluation of Reinforcement Learning for Autonomous Penetration Testing using A3C, Q-learning and DQN",preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4403753261,Optimal Defender Strategies for CAGE-2 using Causal Modeling and Tree Search,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4292779060,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Collapse, and Cosmological Portal Dynamics",preprint,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387394725,SceneCraft: Automating Interactive Narrative Scene Generation in Digital Games with Large Language Models,article,Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4386302825,AutoDroid: LLM-powered Task Automation in Android,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4388685755,GPT-4V in Wonderland: Large Multimodal Models for Zero-Shot Smartphone GUI Navigation,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4387559488,ILuvUI: Instruction-tuned LangUage-Vision modeling of UIs from Machine Conversations,preprint,arXiv (Cornell University),preprint_present,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4401024643,Coalition Obstruction Temporal Logic: A New Obstruction Logic to Reason About Demon Coalitions,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4402670435,You Only Look at Screens: Multimodal Chain-of-Action Agents,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4412781285,Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics,preprint,,preprint_no_archival_found,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4386211377,A Multi-Agent System Empowered by Federated Learning and Genetic Programming,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4383900599,A Novel Framework for Multiagent Knowledge-Based Federated Learning Systems,book-chapter,Lecture notes in computer science,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389518608,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389523767,Theory of Mind for Multi-Agent Collaboration via Large Language Models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389520009,CREATOR: Tool Creation for Disentangling Abstract and Concrete Reasoning of Large Language Models,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
W4389302446,DanZero: Mastering GuanDan Game with Reinforcement Learning,article,,archival,OpenAlex best primary_location used; archival upgrade preferred where indexed.
