source,title,doi,first_pass,type_hint,provisional,rationale
IEEE,Role Assignment for Agent Evaluation Under Uncertainty: A Distributionally Robust Approach,/document/11192230/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,SafeDoc Agent for Facility Safety Report Evaluation,,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Self-Evaluation can Help Agents Meet Social Expectations,/document/11217458/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Skill Training for Space Teleoperation: DRL-Based Intelligent Agent for Training Strategy Adjustment With Innovative Evaluation,/document/11224535/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Stable and Expert-Aligned Evaluation of Wargaming Strategies via Optimized LLM Scoring Agents,/document/11336231/,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
IEEE,Task-Specific Trust Evaluation for Multi-Hop Collaborator Selection via GNN-Aided Distributed Agentic AI,,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Teaching Precommitted Agents: Model-Free Policy Evaluation and Control in Quasi-Hyperbolic Discounted MDPs,/document/11312113/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
IEEE,Workstation Evaluation of Work from Home Call Center Agents Using ROSA,/document/10589117/,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,1001 Games a&#xa0;Night—Continuous Evaluation of&#xa0;an&#xa0;Intelligent Multi-agent-Based System,10.1007/978-981-99-3091-3_59,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,"[<sup>177</sup>Lu]Lu-EDTMP —a bone pain palliating agent: pharmacokinetics, biodistribution, safety profile and clinical evaluation in osseous metastatic patients",10.1007/s00259-025-07218-x,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,A Comprehensive Framework for&#xa0;Turn-Taking Evaluation in&#xa0;Multi-agent Systems: Rotational Periodicity for&#xa0;Scalable Coordination Analysis,10.1007/978-3-032-03711-4_16,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,A multi-agent large language model framework for intelligent vendor evaluation and risk-aware procurement decisions,10.1038/s41598-026-50952-x,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,A Task Complexity Evaluation Framework for&#xa0;Mobile AI Agent Applications,10.1007/978-3-031-94171-9_43,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
Springer,Actions Speak Louder Than Words: Evidence-Based Trust Level Evaluation in&#xa0;Multi-agent Systems,10.1007/978-981-95-3543-9_14,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,Adaptive monitoring and real-world evaluation of agentic AI systems,10.1007/s43681-026-00990-y,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,CommonHealth: Multi-agent Evaluation of&#xa0;Blockchain-Based Patient-Centred Health Networks,10.1007/978-3-031-93930-3_24,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,Design and Evaluation of an Agentic AI Framework for Personalized Umrah Trip Planning,10.1007/s13369-025-11021-z,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,"Development and evaluation of a colorimetric LAMP-based biosensor for rapid detection of a nosocomial infection agent, <i>Citrobacter freundii</i>",10.1038/s41598-023-49329-1,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Embedding ethical governance in personal AI systems: design and evaluation of a user-centred oversight agent,10.1007/s43681-026-01193-1,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,Evaluation of&#xa0;a&#xa0;Customer Development Simulator Using Large Language Model-Based Multi-agent System and&#xa0;Synthetic Respondents,10.1007/978-981-96-6938-7_22,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,"LLM-Based Multi-agent Systems: Frameworks, Evaluation, Open Challenges, and Research Frontiers",10.1007/978-3-032-15632-7_9,candidate_agentic,survey,Borderline,survey/review/workshop (IC3? — check)
Springer,MAP: evaluation and multi-agent enhancement of large language models for inpatient pathways,10.1038/s44401-026-00085-0,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,MATEval: A Multi-agent Discussion Framework for&#xa0;Advancing Open-Ended Text Evaluation,10.1007/978-981-97-5575-2_31,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,"Molecular characterization and evaluation of novel management options for <i>Burkholderia glumae</i> BG1, the causative agent of panicle blight of rice (<i>Oryza sativa</i> L.)",10.1007/s11033-024-09498-2,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Multi-agent System for Intelligent Heating Control: Implementation and Evaluation Using Home Assistant and Neural Networks,10.1007/978-3-032-20746-3_10,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,Multi-agent System for Multi-modal Educational Content Generation and Evaluation: A Case Study,10.1007/978-981-95-7144-4_34,candidate_agentic,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,Potential Play Evaluation with Learning-Based Agent Modeling,10.1007/978-981-96-1445-5_4,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Preparation and Evaluation of Hydrophobically Associating Polyacrylamide Liquid Suspension Agent for Oil Well Cement,10.1007/978-981-96-4922-8_68,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Quality Tuning and Evaluation with Agent Bricks,10.1007/979-8-8688-2524-8_7,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Safety rapid evaluation method and system of pump truck upper structure based on combination weighting and agent model,10.1186/s44147-025-00713-w,candidate_review,application/system,Borderline,application/system paper — likely EC4 unless it defines a reusable benchmark
Springer,T2F: a domain-agnostic multi-agent framework for unstructured text to factuality evaluation items generation,10.1007/s44163-025-00294-w,candidate_review,unclear,Borderline,no clear signal from title — needs abstract
Springer,Using Generated Rubrics to&#xa0;Provide a&#xa0;Window Into Item Evaluation with&#xa0;Multi-agent LLMs,10.1007/978-3-031-98420-4_15,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
Springer,Value-based large language model agent simulation for mutual evaluation of trust and interpersonal closeness,10.1038/s41598-025-25531-1,candidate_agentic,unclear,Borderline,no clear signal from title — needs abstract
