title,doi,status,reason
Evaluating the Gender Label in Virtual Babies Using an Interactive Environment,10.1145/3717511.3749306,exclude_gesture,gesture/embodied-HCI/SIA
Evaluating Multimodal Behavioral Features for Public Speaking Assessment in Virtual Reality,10.1145/3717511.3749301,exclude_gesture,gesture/embodied-HCI/SIA
Evaluating Theory-of-Mind in Large Language Models Through Opponent Modeling,10.1145/3717511.3747081,candidate_agentic,LLM/agentic benchmark or eval
Synthetically Expressive: Evaluating gesture and voice for emotion and empathy in VR and 2D scenarios,10.1145/3717511.3747074,exclude_gesture,gesture/embodied-HCI/SIA
Simulating and Evaluating Generative Modeling and Collaborative Filtering in Complex Social Networks,10.5555/3709347.3743580,candidate_review,manual review
Evaluating Emotions while Watching a Movie using the Learning Type Fuzzy-Template-Matching method,10.1145/3623809.3623969,candidate_review,manual review
Externalizing Vulnerability and Verbalizing Thoughts to More Adequately Evaluate Trust in AI,10.1145/3623809.3623962,candidate_review,manual review
Evaluating District-based Election Surveys with Synthetic Dirichlet Likelihood,10.5555/3635637.3662999,exclude_agent-based modeling,agent-based modeling/sim
Evaluating a Model of Pathological Affect based on Pedagogical Situations for a Virtual Patient,10.1145/3570945.3607325,exclude_gesture,gesture/embodied-HCI/SIA
SemGest: A Multimodal Feature Space Alignment and Fusion Framework for Semantic-aware Co-speech Gesture Generation,10.1145/3746268.3759433,exclude_gesture,gesture/embodied-HCI/SIA
SARGes: Semantically Aligned Reliable Gesture Generation via Intent Chain,10.1145/3746268.3759436,exclude_gesture,gesture/embodied-HCI/SIA
From Embeddings to Language Models: A Comparative Analysis of Feature Extractors for Text-Only and Multimodal Gesture Generation,10.1145/3746268.3759431,exclude_gesture,gesture/embodied-HCI/SIA
What Insights Human Cognition Can Offer to Enhance Computational Models of Multimodal Language Generation?,10.1145/3746268.3759438,candidate_review,manual review
Adapting Verbal and Nonverbal Behaviors of an SIA,10.1145/3746268.3759437,exclude_gesture,gesture/embodied-HCI/SIA
DUPRE: Data Utility Prediction for Efficient Data Valuation,10.5555/3709347.3743790,exclude_fair-division,fair-division/econ-theory
Fair Allocation of Divisible Goods under Non-Linear Valuations,10.5555/3709347.3743529,exclude_fair-division,fair-division/econ-theory
Towards Envy-Freeness Relaxations for General Nonmonotone Valuations,10.5555/3709347.3743543,exclude_fair-division,fair-division/econ-theory
On the Hardness of Fair Allocation under Ternary Valuations,10.5555/3709347.3743593,exclude_fair-division,fair-division/econ-theory
Enhancing Offline Reinforcement Learning with Curriculum Learning-Based Trajectory Valuation,10.5555/3709347.3743511,exclude_fair-division,fair-division/econ-theory
Approximately Fair Allocation of Indivisible Items with Random Valuations,10.5555/3635637.3663080,exclude_fair-division,fair-division/econ-theory
Approximating APS Under Submodular and XOS Valuations with Binary Marginals,10.5555/3635637.3662961,exclude_fair-division,fair-division/econ-theory
Fairness Dynamics in Digital Economy Platforms with Biased Ratings,10.65109/cejt6762,candidate_review,manual review
Maximin Share Allocations for Assignment Valuations,10.5555/3545946.3599108,exclude_fair-division,fair-division/econ-theory
Yankee Swap: A Fast and Simple Fair Allocation Mechanism for Matroid Rank Valuations,10.5555/3545946.3598635,exclude_fair-division,fair-division/econ-theory
Cost Sharing under Private Valuation and Connection Control,10.5555/3545946.3598890,exclude_fair-division,fair-division/econ-theory
Characterizations of Sequential Valuation Rules,10.5555/3545946.3598828,exclude_fair-division,fair-division/econ-theory
