title,doi,year,venue,type,status,reason
Long-Term Field Evaluation of a Bio-Based Recycling Agent in Asphalt Mixtures at the NCAT Test Track,10.1007/978-3-032-27219-5_22,2026,3rd International Workshop on the Use of Biomaterials in Pavements,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
"PPP performance evaluation: the social welfare goal, principal–agent theory and political economy",10.1007/s11077-023-09504-7,2023,Policy Sciences,Article,exclude_nonllm,non-LLM agent system/control/econ
Evaluation of nimotuzumab Fab<sub>2</sub> as an optical imaging agent in EGFR positive cancers,10.1038/s41598-023-37873-9,2023,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
"First-in-human study of PSMA-targeting agent, [<sup>18</sup>F]AlF-P16-093: dosimetry and initial evaluation in prostate cancer patients",10.1007/s00259-024-06596-y,2024,European Journal of Nuclear Medicine and Molecular Imaging,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Acrylonitrile adducts: design, synthesis and biological evaluation as antimicrobial, haemolytic and thrombolytic agent",10.1038/s41598-023-33605-1,2023,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Water-Blocking Agent Effectiveness and Optimization of Injection Parameters in the Sulige Gas Field,10.1007/978-981-96-2900-8_22,2025,Proceedings of the International Field Exploration and Development Conference 2024,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Differentiated SH-SY5Y neuroblastoma cells as a model for evaluation of nerve agent-associated neurotoxicity,10.1007/s00204-023-03525-0,2023,Archives of Toxicology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Study on Screening and Performance Evaluation Technology of Salt-Tolerant Foaming Agent,10.1007/978-981-97-0260-2_47,2024,Proceedings of the International Field Exploration and Development Conference 2023,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
"Development and evaluation of a colorimetric LAMP-based biosensor for rapid detection of a nosocomial infection agent, <i>Citrobacter freundii</i>",10.1038/s41598-023-49329-1,2023,Scientific Reports,Article,candidate_review,no clear signal - manual review
Fused in silico and bioactivity evaluation method for drug discovery: T001-10027877 was identified as an antiproliferative agent that targets EGFR<sup>T790M/C797S/L858R</sup> and EGFR<sup>T790M/L858R</sup>,10.1186/s13065-024-01279-z,2024,BMC Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
In vivo toxicity evaluation of a polyoxotungstate nanocluster as a promising contrast agent for computed tomography,10.1038/s41598-023-36317-8,2023,Scientific Reports,Article,exclude_chem_bio,"chemical/biological ""agent"""
MATEval: A Multi-agent Discussion Framework for&#xa0;Advancing Open-Ended Text Evaluation,10.1007/978-981-97-5575-2_31,2024,Database Systems for Advanced Applications,Conference paper,candidate_review,no clear signal - manual review
Development and Evaluation of a Relational Agent to Assist with Screening and Intervention for Unhealthy Drinking in Primary Care,10.1007/s41347-023-00332-3,2023,Journal of Technology in Behavioral Science,Article,exclude_conv,conversational/relational health agent (EC1/EC4)
Bridging principal-agent and mechanism design theories: an integrated conceptual framework for policy evaluation,10.1007/s12564-023-09844-2,2023,Asia Pacific Education Review,Article,exclude_nonllm,non-LLM agent system/control/econ
Characterization and evaluation of <i>Bacillus altitudinis</i> BS-4 as a novel potential biocontrol agent against <i>Phytophthora sojae</i> in soybean,10.1007/s40858-024-00637-5,2024,Tropical Plant Pathology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of physcion isolated from endophytic <i>Aspergillus fumigatus</i> ASH3 as an antiviral agent against coxsackievirus B4 and herpes simplex virus type 1: <i>in silico</i>-supported <i>in</i> <i>vitro</i> study,10.1007/s12223-025-01389-8,2026,Folia Microbiologica,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of&#xa0;a&#xa0;Customer Development Simulator Using Large Language Model-Based Multi-agent System and&#xa0;Synthetic Respondents,10.1007/978-981-96-6938-7_22,2025,Proceedings of Tenth International Congress on Information and Communication Technology,Conference paper,candidate_agentic,agentic/LLM-agent signal
Evaluation of Oil Displacement Performance of Imbibition Oil Displacement Agent in an Oilfield,10.1007/978-981-97-0264-0_103,2024,Proceedings of the International Field Exploration and Development Conference 2023,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Direct toxicity and emigration: evaluation of herbicide interactions with a biological control agent for Brazilian peppertree (<i>Schinus terebinthifolia</i>),10.1007/s10526-023-10216-3,2023,BioControl,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Some Medicinal Plants as an Antimicrobial Agent for Drinking Water Treatment,10.1007/978-3-031-34648-4_75,2024,Techno-Societal 2022,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
"Molecular characterization and evaluation of novel management options for <i>Burkholderia glumae</i> BG1, the causative agent of panicle blight of rice (<i>Oryza sativa</i> L.)",10.1007/s11033-024-09498-2,2024,Molecular Biology Reports,Article,candidate_review,no clear signal - manual review
Performance Evaluation and On-site Application of Fracture and Cavity Type Carbonate Rock Plugging Agent in Halahatang Oilfield,10.1007/978-981-96-2983-1_68,2025,Progress and Challenge of Porous Media: Proceedings of the 16th Annual Meeting Conference on Porous Media,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Integrated in vivo and in silico evaluation of sweet basil oil as a protective agent against cisplatin-induced neurotoxicity in mice,10.1186/s43088-023-00401-9,2023,Beni-Suef University Journal of Basic and Applied Sciences,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of [<sup>99m</sup>Tc]Tc-TTHMP as a SPECT imaging agent for skeletal system,10.1007/s10967-023-08829-0,2023,Journal of Radioanalytical and Nuclear Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Development and Evaluation Application of a New Type of Composite Bridging Pressure Plugging Agent,10.1007/978-981-97-0256-5_56,2024,Proceedings of the International Field Exploration and Development Conference 2023,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Dynamic Incentive Pricing for Congestion Management in Transit System: An Agent-Based Simulation,10.1007/978-3-031-34027-7_43,2024,Proceedings of the Canadian Society of Civil Engineering Annual Conference 2022,Conference paper,exclude_offconstruct,agent-based modeling/econ
Solvent effects on terpenoid compositions and antioxidant activities of <i>Cinnamomum camphora</i> (L.) J. Presl extracts and the main antioxidant agent evaluation through in vitro and in vivo assay,10.1186/s40538-023-00524-2,2024,Chemical and Biological Technologies in Agriculture,Article,exclude_chem_bio,"chemical/biological ""agent"""
Polymeric Nanogel for Oral Delivery of the Chemotherapeutic Agent: Fabrication and Evaluation Alongside Toxicological Studies and Histopathological Examination,10.1208/s12249-023-02499-7,2023,AAPS PharmSciTech,Article,exclude_chem_bio,"chemical/biological ""agent"""
Performance Evaluation and Process Optimization of Molecular Film Drag-Reducing and Augmentation Agent for Ultra-Low Permeability Reservoir in Changqing Oilfield,10.1007/978-981-96-5158-0_91,2025,Proceedings of the International Field Exploration and Development Conference 2024,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Using Agent-Based Modeling and&#xa0;Simulation for&#xa0;Quality in&#xa0;Use Evaluation of&#xa0;Ambient Assisted Living Applications,10.1007/978-3-031-77571-0_16,2024,Proceedings of the International Conference on Ubiquitous Computing and Ambient Intelligence (UCAmI 2024),Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Evaluation of Intelligent Level of Multi-Agent Game Theory Deduction Models Based on Game Neural Networks,10.1007/978-981-97-1087-4_49,2024,Proceedings of 3rd 2023 International Conference on Autonomous Unmanned Systems (3rd ICAUS 2023),Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Agent-Based Simulation Model for the Real-Time Evaluation of Tunnel Boring Machines Using Deep Learning,10.1007/978-3-031-44021-2_20,2024,"Construction Logistics, Equipment, and Robotics",Conference paper,exclude_offconstruct,agent-based modeling/econ
Knowledge Transfer from&#xa0;Situation Evaluation to&#xa0;Multi-agent Reinforcement Learning,10.1007/978-981-99-1639-9_1,2023,Neural Information Processing,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
"Evaluation of antibacterial, antioxidant, photocatalytic activities of silver-decorated TiO<sub>2</sub> comparison green and classic capping agent",10.1007/s13204-022-02748-4,2023,Applied Nanoscience,Article,exclude_chem_bio,"chemical/biological ""agent"""
Noninvasive evaluation of PD-L1 expression in non-small cell lung cancer by immunoPET imaging using an acylating agent–modified antibody fragment,10.1007/s00259-023-06130-6,2023,European Journal of Nuclear Medicine and Molecular Imaging,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Evaluation of the pharmacokinetics, dosimetry, and therapeutic efficacy for the α-particle-emitting transarterial radioembolization (αTARE) agent [<sup>225</sup>Ac]Ac-DOTA-TDA-Lipiodol<sup>®</sup> against hepatic tumors",10.1186/s41181-023-00205-3,2023,EJNMMI Radiopharmacy and Chemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of Government Incentive Policy on Industrial Waste Utilization by Agent-Based Simulation of Industrial Symbiosis Network,10.1007/978-3-031-68435-7_6,2024,Simulation for a Sustainable Future,Conference paper,exclude_offconstruct,agent-based modeling/econ
"Radiocomplexation, Biological Evaluation, and Characterization of [<sup>99m</sup>Tc]-5-[(3-Carboxy-4-hydroxyphenyl)diazenyl]-2-hydroxybenzoic Acid as a Novel Agent for Imaging of Ulcerative Colitis in Mice",10.1134/s1066362223030141,2023,Radiochemistry,Article,exclude_chem_bio,"chemical/biological ""agent"""
"Cd<sup>2+</sup> Converted to CdO Using <i>Cosmos sulphureus</i> as Reducing Agent and Evaluation of Optical Property, Morphology and Antimicrobial Activity",10.1007/s42250-023-00646-y,2023,Chemistry Africa,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of <i>Telenomus</i> <i>remus</i> (Hymenoptera: Platygastridae) as a biocontrol agent of <i>Spodoptera</i> <i>litura</i> (Lepidoptera: Noctuidae) based on two-sex life table and functional response analyses,10.1186/s43170-023-00188-w,2023,CABI Agriculture and Bioscience,Article,exclude_chem_bio,"chemical/biological ""agent"""
Cluster Evaluation Method Based on Multi-agent Deduction and Complex Network Technology,10.1007/978-981-19-3998-3_71,2023,Proceedings of 2021 5th Chinese Conference on Swarm Intelligence and Cooperative Control,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
COVID-19 Transmission in Universities: Mitigation Measures Evaluation Using Agent-Based Simulation,10.1007/978-3-031-36121-0_16,2023,Proceedings of the 11th International Conference on Production Research – Americas,Conference paper,exclude_offconstruct,agent-based modeling/econ
Isolation and evaluation of <i>Bacillus subtilis</i> RSS-1 as a potential biocontrol agent against <i>Sclerotinia sclerotiorum</i> on oilseed rape,10.1007/s10658-023-02642-x,2023,European Journal of Plant Pathology,Article,exclude_chem_bio,"chemical/biological ""agent"""
Evaluation of the Effects of Diammonium Phosphate (DAP) as a Consolidating Agent for the Restoration of the Main Façade of the Rectory of Santa Maria of Vezzolano,10.1007/978-3-031-87068-2_12,2025,The Future of Heritage Science and Technologies,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
1001 Games a&#xa0;Night—Continuous Evaluation of&#xa0;an&#xa0;Intelligent Multi-agent-Based System,10.1007/978-981-99-3091-3_59,2023,Proceedings of Eighth International Congress on Information and Communication Technology,Conference paper,candidate_review,no clear signal - manual review
Design and&#xa0;Evaluation of&#xa0;a&#xa0;Smart Environment with&#xa0;a&#xa0;Conversational Agent for&#xa0;Mindful Eating,10.1007/978-3-031-21333-5_90,2023,Proceedings of the International Conference on Ubiquitous Computing & Ambient Intelligence (UCAmI 2022),Conference paper,exclude_conv,conversational/relational health agent (EC1/EC4)
An Evaluation of Agent-Based Models for Simulating E-Scooter Sharing Services in Urban Areas,10.1007/978-3-031-23721-8_79,2023,Smart Energy for Smart Transport,Conference paper,exclude_nonllm,non-LLM agent system/control/econ
Evaluation of Strain Recovery and Stress Sensitivity of Asphalt Binders Containing Warm-Mix Asphalt Additive and Anti-stripping Agent,10.1007/978-3-031-12851-6_2,2023,Challenges and Innovations in Geomechanics,Conference paper,exclude_chem_bio,"chemical/biological ""agent"""
Study on the Evaluation Method of Static Adsorption Amount of Oil-Displacing Agent Used in Fracturing Ultra-low Permeability Reservoirs,10.1007/978-981-99-1964-2_468,2023,Proceedings of the International Field Exploration and Development Conference 2022,Conference paper,exclude_offconstruct,chemistry/materials
