oa_id,title,year,type,venue,cited_by_count,screen_pass,decision,exclusion_code,confidence,machine_or_human,has_agent,has_eval,introduces,rationale
W4414813448,Beyond the Strongest LLM: Multi-Turn Multi-Agent Orchestration vs. Single LLMs on Benchmarks,2025,preprint,ArXiv.org,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4384808169,BOLD: A Benchmark for Linked Data User Agents and a Simulation Framework for Dynamic Linked Data Environments,2023,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4417284393,Toward Reliable Annotation in Low-Resource NLP: A Mixture of Agents Framework and Multi-LLM Benchmarking,2025,article,IEEE Access,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7126123156,Agent Benchmarks Fail Public Sector Requirements,2026,article,ArXiv.org,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4407780297,DataSciBench: An LLM Agent Benchmark for Data Science,2025,preprint,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7161048964,GenoTEX: LLM Agent Benchmark for Genomic Analysis,2026,dataset,Kaggle,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4403364484,COMMA: A Communicative Multimodal Multi-Agent Benchmark,2024,preprint,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416083502,A2Perf: Real-World Autonomous Agents Benchmark,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7128818021,OpenCDA-MARL: A Unified Benchmarking Framework for Cooperative Autonomous Intersection Management With Multi-Agent Reinforcement Learning,2026,article,IEEE Robotics and Automation Letters,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7138370235,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",2026,article,Proceedings of the AAAI Conference on Artificial Intelligence,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7131676923,Deep Q-Network Agents for Game Playing: Systematic Evaluation Across Eight Benchmark and Custom Environments,2026,article,Electronics,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7140953469,Ego2Web: A Web Agent Benchmark Grounded in Egocentric Videos,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7162700520,Anchor: Mitigating Artifact Drift in Agent Benchmark Generation,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7138033599,Establishing Best Practices for Building Rigorous Agentic Benchmarks,2026,other,Underline Science Inc.,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416519583,DABstep: Data Agent Benchmark for Multi-step Reasoning,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7162818497,A Matter of TASTE: Improving Coverage and Difficulty of Agent Benchmarks,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7159547049,BenchGuard: Who Guards the Benchmarks? Automated Auditing of LLM Agent Benchmarks,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7111563926,An Agentic Benchmarking of Large Language Models for Security Incident Analysis,2025,other,Spectrum Research Repository (Concordia University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7117079325,ReX-MLE: The Autonomous Agent Benchmark for Medical Imaging Challenges,2025,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7155654874,"Cross-Session Threats in AI Agents: Benchmark, Evaluation, and Algorithms",2026,article,arXiv (Cornell University),0,A,excluded,EC2,heuristic,machine,True,True,True,matched EC2_prompt_only
W4417073165,DriveEval-Agent: A Closed-Loop Framework Combining Zero-Shot Benchmarking and Full Fine-Tuning for Multimodal Autonomous Driving,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7134291550,The World Won't Stay Still: Programmable Evolution for Agent Benchmarks,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4385682136,AgentBench: Evaluating LLMs as Agents,2023,preprint,arXiv (Cornell University),51,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4385849309,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,2023,preprint,arXiv (Cornell University),54,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4402684150,Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,article,,37,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4402670103,MatPlotAgent: Method and Evaluation for LLM-Based Agentic Scientific Data Visualization,2024,article,,22,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4408165425,Design and evaluation of an Autonomous Cyber Defence agent using DRL and an augmented LLM,2025,article,Computer Networks,24,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4412945638,MultiAgentBench : Evaluating the Collaboration and Competition of LLM agents,2025,article,,15,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4396832912,Prompt-Gaming: A Pilot Study on LLM-Evaluating Agent in a Meaningful Energy Game,2024,article,,17,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4412886733,LegalAgentBench: Evaluating LLM Agents in Legal Domain,2025,article,,9,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415289348,Survey on Evaluation of LLM-based Agents,2025,preprint,arXiv (Cornell University),7,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4400187846,Managing Linux servers with LLM-based AI agents: An empirical evaluation with GPT4,2024,article,Machine Learning with Applications,11,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411119815,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,2025,article,,12,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415797149,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4402480690,Evaluation of an LLM-Powered Student Agent for Teacher Training,2024,book-chapter,Lecture notes in computer science,7,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4392971563,How Far Are We on the Decision-Making of LLMs? Evaluating LLMs' Gaming Ability in Multi-Agent Environments,2024,preprint,arXiv (Cornell University),8,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4401043616,On Evaluating the Integration of Reasoning and Action in LLM Agents with Database Question Answering,2024,article,,8,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4416035019,PersonaGym: Evaluating Persona Agents and LLMs,2025,article,,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415796822,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,article,,8,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4413025843,Multi-Model Dialectical Evaluation of LLM Reasoning Chains: A Structured Framework with Dual Scoring Agents,2025,article,Informatics,9,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4405035082,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,2024,preprint,arXiv (Cornell University),4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4405627542,Agent-SafetyBench: Evaluating the Safety of LLM Agents,2024,preprint,arXiv (Cornell University),2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404782102,An Evaluation Mechanism of LLM-based Agents on Manipulating APIs,2024,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4412886643,Auto-Arena: Automating LLM Evaluations with Agent Peer Battles and Committee Discussions,2025,article,,4,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4410294558,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,2025,article,IEEE Transactions on Artificial Intelligence,5,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4415796346,ALI-Agent: Assessing LLMs' Alignment with Human Values via Agent-based Evaluation,2024,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4415054476,"Collaborate, Deliberate, Evaluate: How LLM Alignment Affects Coordinated Multi-Agent Outcomes",2026,article,,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4403880476,Can Machines Think Like Humans? A Behavioral Evaluation of LLM-Agents in Dictator Games,2024,preprint,,4,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7118158543,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,2026,article,IEEE Access,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4409736144,Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Classes,2025,article,,6,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4410087623,Evaluating and Enhancing LLMs Agent Based on Theory of Mind in Guandan: A Multi-Player Cooperative Game Under Imperfect Information,2024,article,,6,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4411113099,Evaluating Cultural and Social Awareness of LLM Web Agents,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4399597482,GameBench: Evaluating Strategic Reasoning Abilities of LLM Agents,2024,preprint,arXiv (Cornell University),2,A,excluded,EC4,heuristic,machine,True,True,True,matched EC4_model_centric
W7150166984,From Static Scores to Cognitive Retrieval: A Comparative Evaluation of Memory Prioritization Algorithms for LLM Multi-Agent Systems,2026,preprint,Zenodo (CERN European Organization for Nuclear Research),5,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4387560371,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,2023,preprint,arXiv (Cornell University),5,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404781196,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents,2024,article,,3,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W7125387752,Deploying and evaluating a conversational agent using LLMs for academic library reference,2026,article,Reference Services Review,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4409363027,LLM Agents Can Be Choice-Supportive Biased Evaluators: An Empirical Study,2025,article,Proceedings of the AAAI Conference on Artificial Intelligence,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4410538601,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4400337685,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416396996,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,2025,preprint,SSRN Electronic Journal,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4412889602,EducationQ: Evaluating LLMs’ Teaching Capabilities Through Multi-Agent Dialogue Framework,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416955380,Evaluating Faithfulness in Agentic RAG Systems for e-Governance Applications Using LLM-Based Judging Frameworks,2025,article,Big Data and Cognitive Computing,3,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4412944686,The Behavior Gap: Evaluating Zero-shot LLM Agents in Complex Task-Oriented Dialogs,2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W7125268930,An LLM-based multi-agent system to assist early-stage product design and evaluation,2026,article,Journal of Engineering Design,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak (title-only; abstract missing -> needs_human_verification)
W4412708385,Development and evaluation of an agentic LLM based RAG framework for evidence-based patient education,2025,article,BMJ Health & Care Informatics,2,A,excluded,EC2,heuristic,machine,True,True,False,matched EC2_prompt_only
W4391057591,Magenta: Metrics and Evaluation Framework for Generative Agents based on LLMs,2024,article,AHFE international,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415230938,Interactional Fairness in LLM Multi-Agent Systems: An Evaluation Framework,2025,article,Proceedings of the AAAI/ACM Conference on AI Ethics and Society,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7125598063,"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4408353845,IDE: A Multi-Agent-Driven Iterative Framework for Dynamic Evaluation of LLMs,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416004498,LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,2025,article,,1,A,excluded,EC2,heuristic,machine,True,True,True,matched EC2_prompt_only
W4415971869,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7126421652,A Context-Aware LLM-Based Action Safety Evaluator for Automation Agents,2025,article,,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4416250602,Specification and Evaluation of Multi-Agent LLM Systems - Prototype and Cybersecurity Applications,2025,article,,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7125978039,Evaluating Fairness in LLM Negotiator Agents via Economic Games Using Multi-Agent Systems,2026,article,Mathematics,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4417132388,"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, Reliability, and Latency",2025,article,,2,B,included,,heuristic,machine,True,True,False,agent+eval present; introduction signal weak
W4404312297,AGENT-CQ: Automatic Generation and Evaluation of Clarifying Questions for Conversational Search with LLMs,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416034079,Privacy in Action: Towards Realistic Privacy Mitigation and Evaluation for LLM-Powered Agents,2025,article,,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4416375749,Toward a Human-Centered Evaluation Framework for Trustworthy LLM-Powered GUI Agents,2025,preprint,ArXiv.org,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4410553198,Beyond pip Install: Evaluating LLM Agents for the Automated Installation of Python Projects,2025,article,,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4416132621,LLM-Driven Agent-Based Evaluation Framework for Occupant-Centric HVAC Control Considering Individual Differences and Movement Behavior,2025,article,,2,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4417068122,LLM-based Agent Simulation for Maternal Health Interventions: Uncertainty Estimation and Decision-focused Evaluation,2025,preprint,ArXiv.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415427688,VALISE: A Virtual Agent Laboratory for Instruction-Following Simulation and Evaluation of LLM-Powered Digital Health Interventions,2025,book-chapter,Frontiers in artificial intelligence and applications,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4404088882,When LLMs Learn to be Students: The SOEI Framework for Modeling and Evaluating Virtual Student Agents in Educational Interaction,2024,preprint,arXiv (Cornell University),1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W7161203893,CTFusion: A CTF-based Benchmark for LLM Agent Evaluation,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7140347033,AdaRubric: Task-Adaptive Rubrics for LLM Agent Evaluation,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4413899309,"Joint Evaluation (Jo.E): A Collaborative Framework for Rigorous Safety and Alignment Evaluation of AI Systems Integrating Human Expertise, LLMs, and AI Agents",2025,preprint,Preprints.org,1,A,included,,heuristic,machine,True,True,True,agent + benchmark/eval + introduction signal
W4415332356,"""Shall We Dig Deeper?"": Designing and Evaluating Strategies for LLM Agents to Advance Knowledge Co-Construction in Asynchronous Online Discussions",2026,article,,1,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7140189079,AdaRubric: Task-Adaptive Rubrics for Reliable LLM Agent Evaluation and Reward Learning,2026,preprint,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7162879191,"Budget-Aware LLM Agents. Evaluation, Failure Modes, and Trainable Cost Control",2026,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7162244386,Socio-Normative Trustworthiness of LLM Agents: Evaluating Autonomy Support and Representational Fairness Across Languages and Identities,2026,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7128518302,The State of Evaluating LLM Agents,2026,preprint,SSRN Electronic Journal,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4416190350,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,2025,preprint,ArXiv.org,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7128864610,Evaluating Memory Structure in LLM Agents,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7125580424,Evaluating Toxicity Understanding of LLM Agents,2025,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7158134365,Aspis: Systematizing AI Risk Evaluation for LLMs and Agents Using LLM-Based Evaluators,2026,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7162219190,Agentic CLEAR: Automating Multi-Level Evaluation of LLM Agents,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7133364395,Evaluating and Understanding Scheming Propensity in LLM Agents,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4406745081,EmbodiedEval: Evaluate Multimodal LLMs as Embodied Agents,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7130617476,Evaluating Collective Behaviour of Hundreds of LLM Agents,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7151501585,AGENTIC LLM SYSTEM FOR AUTOMATED PROJECT EVALUATION,2026,article,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4417182809,Evaluating LLM Agent Collusion in Double Auctions,2025,preprint,ArXiv.org,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7162818065,A Unified Framework for the Evaluation of LLM Agentic Capabilities,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416556826,LifelongAgentBench: Evaluating LLM Agents as Lifelong Learners,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7118787850,Evaluating Explainability in Multi-Agent LLM Ecosystems,2026,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4405957668,Plancraft: an evaluation dataset for planning with LLM agents,2024,preprint,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416830366,LLM Agent Meets Agentic AI: Can LLM Agents Simulate Customers to Evaluate Agentic-AI-based Shopping Assistants?,2025,preprint,ArXiv.org,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W4415306791,Leveraging LLMs as Meta-Judges: A Multi-Agent Framework for Evaluating LLM Judgments,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7126001722,Toward Architecture-Aware Evaluation Metrics for LLM Agents,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7148293666,DeepRed: Partial-Credit Evaluation of LLM Agents in CTFs,2026,other,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7154539263,Evaluating LLM Agents on Automated Software Analysis Tasks,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4417536798,SHADE-Arena: Evaluating Sabotage and Monitoring in LLM Agents,2025,preprint,ArXiv.org,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7162247626,Evaluating LLM Agents on Architectural Code Smell Repair,2026,other,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7127739740,The Necessity of a Unified Framework for LLM-Based Agent Evaluation,2026,article,ArXiv.org,0,A,excluded,EC2,heuristic,machine,True,True,True,matched EC2_prompt_only
W4410887599,Evaluating LLM-Based Communicative Agents for Verilog Design,2025,article,,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7119860193,A Unified Evaluation and Governance Framework for Trustworthy LLM Agents,2026,article,,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4416036585,Can LLMs Help You at Work? A Sandbox for Evaluating LLM Agents in Enterprise Environments,2025,article,,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4414886945,Can Compressed LLMs Truly Act? An Empirical Evaluation of Agentic Capabilities in LLM Compression,2025,preprint,ArXiv.org,0,A,excluded,EC1,heuristic,machine,True,True,True,matched EC1_general_nlp
W4415338085,Dive into the Agent Matrix: A Realistic Evaluation of Self-Replication Risk in LLM Agents,2025,preprint,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7140307387,Automatically Benchmarking LLM Code Agents through Agent-driven Annotation and Evaluation,2026,article,,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4417090570,Evaluating the Multilingual Capabilities of LLM-based Web UI Agents,2025,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7131893979,"The Evaluation Challenge of Agency: Reliability, Contamination, and Evolution in LLM Agents",2026,article,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7135175195,Multi-Agent Readiness Score (MARS) Evaluation of Genomic LLMs,2026,other,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7135429255,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7126001554,RobustExplain: Evaluating Robustness of LLM-Based Explanation Agents for Recommendation,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7105507633,Efficient LLM Safety Evaluation through Multi-Agent Debate,2025,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7128909499,Evaluating LLM-based Agents for Multi-turn Conversations: A Survey,2026,article,ACM Transactions on Intelligent Systems and Technology,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7116399990,SciSkillBench: CASCADE Benchmark for Evaluating LLM Agents on Scientific Tasks,2025,dataset,Figshare,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7117995971,Multi-agent LLM with the Chain-of-Thought for Design Creativity Evaluation,2026,book-chapter,Lecture notes in computer science,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7134992459,One-Eval: An Agentic System for Automated and Traceable LLM Evaluation,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7162219231,AtelierEval: Agentic Evaluation of Humans & LLMs as Text-to-Image Prompters,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7103910499,InnovatorBench: Evaluating Agents' Ability to Conduct Innovative LLM Research,2025,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7160969195,SmellBench: Evaluating LLM Agents on Architectural Code Smell Repair,2026,article,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W7127970208,Developing and Evaluating an LLM-based Agent for ExplorViz Using CopilotKit,2026,book,,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7119526587,Study results for: Developing and Evaluating an LLM Agent Integration for ExplorViz,2026,dataset,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7161490726,SkillLens: Skill-Centered Evaluation Traces for LLM Coding Agents,2026,dataset,Zenodo (CERN European Organization for Nuclear Research),0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7143407815,From evaluation to emulation: LLMs as agents of iterative pedagogical design,2026,article,International Journal of Artificial Intelligence in Education,0,B,not_assessed,priority_cutoff,heuristic,machine,True,True,False,below target_included priority cutoff (logged)
W7134859939,Evaluating Multi-Agent LLM Architectures for Rare Disease Diagnosis,2026,article,ArXiv.org,0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
W4390897643,AntEval: Evaluation of Social Interaction Competencies in LLM-Driven Agents,2024,preprint,arXiv (Cornell University),0,A,not_assessed,priority_cutoff,heuristic,machine,True,True,True,below target_included priority cutoff (logged)
